mode,load,0_vgg19-4,1_squeezenet1_0-8,2_squeezenet1_1-16
mps-uncap,1.0,560.0536069194033,1571.6186628585847,2503.6591885270345
mig,1.0,479.0091486129287,1472.0191715282567,2501.537743293402
