mode,load,0_densenet169-32,1_squeezenet1_0-2,2_squeezenet1_0-2
mps-uncap,0.8,928.1541532054283,634.5682221593471,576.5536384232342
mps-uncap,0.9,1030.7813522166512,718.2017901074504,646.5411333550659
mps-uncap,1.0,1178.7973398814077,786.6670761055383,738.6415596069686
mps-uncap,0.5,602.8220443241783,396.017728405953,363.27051686638004
mps-uncap,0.6,712.4370083502026,471.53138752411536,440.5709802566341
mps-uncap,0.7,842.1555243878579,568.6228495619678,514.6931273415365
mps-uncap,0.1,113.70768995236674,82.45106270214582,68.84954127696963
mps-uncap,0.2,233.4916709060624,161.000800995245,145.06151286530252
mps-uncap,0.3,354.307262416541,240.32141406616694,222.398572224799
mps-uncap,0.4,484.72388240197216,318.0919636704262,291.11020217910885
