mode,load,0_densenet169-32,1_squeezenet1_0-2,2_squeezenet1_0-2
mps-uncap,0.8,25.01201629638672,1.8856525421142578,1.8100738525390625
mps-uncap,0.9,25.66671371459961,1.8351078033447266,1.9881725311279297
mps-uncap,1.0,26.411056518554688,2.054452896118164,2.041339874267578
mps-uncap,0.5,23.08356761932373,2.3300647735595703,2.3969411849975586
mps-uncap,0.6,23.72300624847412,2.025604248046875,2.219676971435547
mps-uncap,0.7,24.0478515625,1.8062591552734375,1.9392967224121094
mps-uncap,0.1,21.471738815307617,2.466917037963867,2.472996711730957
mps-uncap,0.2,21.582603454589844,2.4552345275878906,2.5348663330078125
mps-uncap,0.3,22.136688232421875,2.405524253845215,2.424478530883789
mps-uncap,0.4,22.63164520263672,2.419710159301758,2.390146255493164
