mode,load,0_densenet169-32,1_squeezenet1_0-2,2_squeezenet1_0-2
mps-uncap,0.8,27.689456939697266,7.447481155395508,7.194995880126953
mps-uncap,0.9,29.23107147216797,7.162570953369141,7.338523864746094
mps-uncap,1.0,28.989791870117188,8.020639419555664,7.691144943237305
mps-uncap,0.5,26.473045349121094,7.230281829833984,7.239580154418945
mps-uncap,0.6,26.723146438598633,7.3413848876953125,7.11512565612793
mps-uncap,0.7,26.123046875,7.283687591552734,7.290363311767578
mps-uncap,0.1,25.364160537719727,7.081508636474609,7.027626037597656
mps-uncap,0.2,26.561498641967773,7.171392440795898,7.122993469238281
mps-uncap,0.3,24.643421173095703,7.0819854736328125,7.236242294311523
mps-uncap,0.4,25.928497314453125,7.358551025390625,7.095575332641602
