mode,load,0_resnet101-32,1_efficientnet_b6-16,2_resnet152-8
mps-uncap,1.0,845.4234690950722,292.1779953803161,190.1899547455123
mig,1.0,769.320837885804,223.39605469531222,298.1696321365
