mode,load,0_resnet101-32,1_efficientnet_b6-16,2_resnet152-8
mps-uncap,1.0,32.697439193725586,33.77509117126465,33.36501121520996
mig,1.0,40.825843811035156,70.8303451538086,25.998592376708984
