mode,load,0_resnet101-32,1_efficientnet_b6-16,2_resnet152-8
mps-uncap,1.0,39.83464241027832,57.17012882232666,44.34103965759277
mig,1.0,41.98355674743652,72.1306324005127,27.066707611083984
