mode,load,0_resnet101-32,1_efficientnet_b6-16,2_resnet152-8
mps-uncap,1.0,47.127485275268555,65.22560119628906,48.5689640045166
mig,1.0,50.3690242767334,82.66448974609375,39.412498474121094
