mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-8
mps-uncap,0.8,309.5674089232015,128.72137931536156,2159.4334595010523
mps-uncap,0.9,360.12388593977863,137.50549226843256,2449.343434535182
mps-uncap,1.0,393.0468466589497,141.03497898494314,2370.898611231192
mps-uncap,0.5,199.8979124805755,78.88461611458088,1371.9021457784008
mps-uncap,0.6,237.9776638990549,92.69732264654078,1616.9241977953711
mps-uncap,0.7,281.2947886997038,106.73287219028998,1942.5382093354203
mps-uncap,0.1,38.89379475327057,14.430491158828547,279.2802160249277
mps-uncap,0.2,82.49911647981118,30.37962399264932,545.8843824696157
mps-uncap,0.3,122.28221361246266,46.169208036575235,803.5311900059435
mps-uncap,0.4,169.1985727007729,61.77571088317687,1104.5251953137624
