mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,1.0,5.198478698730469,16.35453701019287,9.586453437805176
mig,1.0,5.040407180786133,16.026830673217773,8.975005149841309
