mode,load,0_densenet161-2,1_efficientnet_b7-4,2_vgg19-16
mps-uncap,0.8,9.782552719116211,12.60828971862793,10.683536529541016
mps-uncap,0.9,9.652137756347656,12.833595275878906,10.710000991821289
mps-uncap,1.0,9.692907333374023,12.908935546875,10.748863220214844
mps-uncap,0.5,9.509801864624023,12.673377990722656,10.663986206054688
mps-uncap,0.6,9.510993957519531,12.69674301147461,10.65826416015625
mps-uncap,0.7,9.578943252563477,12.753725051879883,10.669708251953125
mps-uncap,0.1,10.063409805297852,12.646913528442383,10.643959045410156
mps-uncap,0.2,9.922027587890625,12.993335723876953,10.608911514282227
mps-uncap,0.3,9.870052337646484,12.896299362182617,10.626077651977539
mps-uncap,0.4,9.736776351928711,12.816190719604492,10.624170303344727
