mode,load,0_densenet161-2,1_efficientnet_b7-4,2_vgg19-16
mps-uncap,0.8,63.65559101104741,64.80388641357425,56.282687187194824
mps-uncap,0.9,100.2159118652344,184.559965133667,132.36126899719238
mps-uncap,1.0,509.34648513793945,2244.4186687469482,1448.5135078430176
mps-uncap,0.5,14.932632446289068,14.163732528686523,14.056634902954105
mps-uncap,0.6,17.055869102478027,21.099328994751,19.059419631958008
mps-uncap,0.7,38.15546035766604,49.88303184509273,36.44287586212158
mps-uncap,0.1,0.06871223449707033,0.06732940673828125,0.07462501525878906
mps-uncap,0.2,0.09117126464843735,0.0650644302368164,3.8300514221191366
mps-uncap,0.3,4.378223419189461,3.2960891723632892,8.245539665222173
mps-uncap,0.4,7.808637619018555,10.004401206970215,10.490846633911133
