mode,load,0_efficientnet_b5-32,1_resnet101-8,2_resnet50-16
mps-uncap,0.8,548.4266987677139,195.1939520105125,709.5156453829261
mps-uncap,0.9,620.1896225386193,232.05162497165531,790.7828388225685
mps-uncap,1.0,629.1647620876879,227.79690422836444,807.8288186055831
mps-uncap,0.5,331.26631655542985,121.59916573491805,427.9119213170024
mps-uncap,0.6,405.7800562759745,150.47727831118524,525.536778549272
mps-uncap,0.7,474.26493479306635,169.50014162025144,625.0179374691759
mps-uncap,0.1,65.32592944615732,27.713575043765456,84.88762138123934
mps-uncap,0.2,123.91092699607158,48.25533566321429,186.01780826234824
mps-uncap,0.3,201.27597005065158,75.01565018375109,270.16390777787404
mps-uncap,0.4,285.75017048676335,98.2125438596081,339.2348039457963
