mode,load,0_efficientnet_b5-32,1_resnet101-8,2_resnet50-16
mps-uncap,0.8,628.1912326812744,258.99291038513184,222.2740650177002
mps-uncap,0.9,2246.3066577911377,710.444450378418,434.00096893310547
mps-uncap,1.0,4518.292188644409,4545.667409896851,7894.641637802124
mps-uncap,0.5,155.16090393066406,71.14243507385254,60.23597717285156
mps-uncap,0.6,239.49193954467773,140.70391654968262,117.22803115844727
mps-uncap,0.7,318.5467720031738,222.40495681762695,167.80471801757812
mps-uncap,0.1,66.02954864501953,49.1330623626709,36.01336479187012
mps-uncap,0.2,69.86308097839355,50.93717575073242,41.25022888183594
mps-uncap,0.3,101.98760032653809,56.499481201171875,52.420616149902344
mps-uncap,0.4,154.1903018951416,54.49724197387695,49.80015754699707
