mode,load,0_alexnet-16,1_mobilenet_v3_small-2,2_resnet152-2
mps-uncap,0.8,7500.805536803831,571.1088974821399,134.74633051201508
mps-uncap,0.9,8377.50337713086,662.4716755486154,156.71551198602276
mps-uncap,1.0,9389.722810038777,716.0257946831524,170.9164769194894
mps-uncap,0.5,4657.089458762716,373.48615368994894,87.21647642993526
mps-uncap,0.6,5650.641176477042,428.91479864831297,101.35889913320055
mps-uncap,0.7,6496.274069919727,513.5303928113456,121.15949389857433
mps-uncap,0.1,943.4536028738985,70.26800753419698,17.979436436531948
mps-uncap,0.2,1859.574441636764,146.5830086339903,35.50669712551523
mps-uncap,0.3,2801.013083296415,217.04925575605347,53.01649809882491
mps-uncap,0.4,3661.988342440192,294.619778180516,67.26402959669224
