mode,load,0_inception_v3-4,1_squeezenet1_0-16,2_vgg11-4
mps-uncap,0.8,218.03347860812022,2326.594880885309,843.9353976544387
mps-uncap,0.9,240.72805561230476,2571.824693697832,942.08047543074
mps-uncap,1.0,222.77894510958564,2709.377907789096,970.9135986487117
mps-uncap,0.5,133.9002120919801,1445.5192463894364,523.8447643561163
mps-uncap,0.6,165.97228027480412,1696.160581079109,645.486713764261
mps-uncap,0.7,181.3017980259576,2022.168032807551,734.3721019784725
mps-uncap,0.1,25.590537385955912,271.3148437269644,105.9148469702297
mps-uncap,0.2,54.944388273188366,593.0930129409616,212.907131733038
mps-uncap,0.3,75.50118302772255,844.2556527679432,319.9867272734788
mps-uncap,0.4,108.32264346738452,1161.0846988216113,419.7568168307221
