mode,load,0_densenet169-32,1_efficientnet_b6-4,2_mobilenet_v3_large-2
mps-uncap,0.8,35.20607948303223,28.368473052978516,10.673284530639648
mps-uncap,0.9,32.54222869873047,28.100252151489258,12.450933456420898
mps-uncap,1.0,32.41133689880371,27.95577049255371,16.3424015045166
mps-uncap,0.5,34.87348556518555,28.447628021240234,10.807991027832031
mps-uncap,0.6,34.697771072387695,28.545856475830078,10.490179061889648
mps-uncap,0.7,31.811237335205078,27.5881290435791,12.613058090209961
mps-uncap,0.1,40.497541427612305,38.877248764038086,15.028238296508789
mps-uncap,0.2,36.51618957519531,35.158634185791016,13.237476348876953
mps-uncap,0.3,35.181522369384766,33.106327056884766,13.001680374145508
mps-uncap,0.4,36.04292869567871,28.53536605834961,13.115644454956055
