mode,load,0_densenet121-32,1_resnet152-8,2_squeezenet1_0-2
mps-uncap,0.6,72.41487503051758,72.26109504699707,66.31612777709961
mig,0.6,252.3798942565918,174.26538467407227,17.276287078857422
mps-uncap,0.7,134.18817520141602,143.59712600708008,155.81250190734863
mig,0.7,245.89204788208008,282.947301864624,19.10686492919922
mps-uncap,0.8,129.06718254089355,260.9596252441406,8810.918807983398
mig,0.8,365.9505844116211,389.7271156311035,24.903059005737305
mps-uncap,0.9,179.60047721862793,211.6563320159912,23643.455266952515
mig,0.9,1119.3268299102783,610.8212471008301,45.5172061920166
mps-uncap,1.0,218.2791233062744,378.50332260131836,34942.23952293396
mig,1.0,1803.039789199829,1966.8035507202148,919.2779064178467
mps-uncap,1.1,423.9044189453125,1939.9335384368896,39892.077684402466
mig,1.1,6582.251310348511,7994.317531585693,7122.286796569824
mps-uncap,1.2,487.78343200683594,10209.856033325195,53117.92778968811
mig,1.2,15659.535646438599,14428.8330078125,14065.107583999634
mps-uncap,1.3,3895.8740234375,19308.861017227173,51055.27210235596
mig,1.3,22460.6614112854,21368.732690811157,21340.61908721924
