mode,load,0_densenet121-32,1_resnet152-8,2_squeezenet1_0-2
mps-uncap,0.6,590.2471143328121,180.12189271434983,654.0044820790782
mig,0.6,584.8964451631484,176.16671420086888,663.909171198999
mps-uncap,0.7,677.0972832909305,200.57788246368978,772.4365535518806
mig,0.7,683.1873630738991,218.86993606496816,762.402080190721
mps-uncap,0.8,759.9459673011072,250.3926622344938,798.764935063033
mig,0.8,771.1459108334051,239.55168903484048,862.8072250743452
mps-uncap,0.9,869.657606030419,274.9959062121081,741.4553755262219
mig,0.9,888.418847644967,275.82672666531295,977.0717890862916
mps-uncap,1.0,979.4806474121555,299.5688831578662,676.4208098382159
mig,1.0,968.358910093793,302.09429404667145,1078.4476012913808
mps-uncap,1.1,1093.1939930759677,333.9158004354767,673.6271903466832
mig,1.1,980.672527190142,304.81240761432,1108.3448097523637
mps-uncap,1.2,1219.457893752339,320.17793957817327,551.1641895660397
mig,1.2,981.0577831127972,305.14074975575363,1092.6201431049574
mps-uncap,1.3,1227.8012184906938,308.5158114864668,619.5607998933668
mig,1.3,979.9110170294197,304.26126962715335,1083.4173553537876
