mode,load,0_efficientnet_b7-8,1_efficientnet_b7-8,2_efficientnet_b7-8,3_efficientnet_b7-8
mig,0.1,96.18067741394043,96.58122062683105,97.03755378723145,161.179780960083
mig,0.2,140.20991325378418,142.35496520996094,128.16524505615234,187.5474452972412
mig,0.3,171.5066432952881,207.5026035308838,158.48970413208008,341.3658142089844
mig,0.4,200.77085494995117,181.29324913024902,217.2403335571289,359.9052429199219
mig,0.5,231.80389404296875,293.03860664367676,381.9272518157959,530.6215286254883
mig,0.6,402.09150314331055,281.2154293060303,281.55016899108887,646.9020843505859
mig,0.7,657.0370197296143,382.5852870941162,469.24877166748047,982.3052883148193
mig,0.8,502.49361991882324,699.1469860076904,764.2524242401123,1086.3237380981445
mig,0.9,1421.4670658111572,3238.544702529907,1538.8054847717285,1561.762809753418
mig,1.0,3857.6180934906006,5085.4010581970215,7698.6494064331055,7035.2942943573
