mode,load,0_efficientnet_b7-8,1_efficientnet_b7-8,2_efficientnet_b7-8,3_efficientnet_b7-8
mig,0.1,94.72209215164185,96.47500514984131,89.87107753753666,159.39994335174563
mig,0.2,120.61313152313231,108.77005338668836,97.91625022888175,183.92940998077393
mig,0.3,126.50762081146242,184.8112797737122,120.27603149414058,282.5430512428287
mig,0.4,156.55547380447382,149.51788902282712,165.6380295753479,303.09445381164574
mig,0.5,199.66136932373044,227.7844786643982,235.5864667892455,486.0084724426269
mig,0.6,328.4630608558655,242.40486621856692,243.65945816040016,541.1614537239076
mig,0.7,579.7749090194704,336.52861833572325,379.7632837295528,831.1352467536921
mig,0.8,424.25477266311646,590.3227233886719,678.6214256286622,919.8846220970154
mig,0.9,1356.098282337188,3123.0080413818364,1390.1435542106626,1470.0371503829956
mig,1.0,3709.7494721412654,4954.18196439743,7530.735564231872,6970.8804178237915
