mode,load,0_efficientnet_b7-4,1_squeezenet1_0-8,2_vgg13-4
mps-uncap,0.8,23.519515991210938,3.519773483276367,3.4351348876953125
mps-uncap,0.9,28.466463088989258,4.0329694747924805,3.7610530853271484
mps-uncap,1.0,35.605669021606445,4.546761512756348,4.115104675292969
mps-uncap,0.5,18.598198890686035,2.5634765625,2.820134162902832
mps-uncap,0.6,19.15144920349121,2.738356590270996,3.0524730682373047
mps-uncap,0.7,21.53193950653076,2.9851198196411133,3.2219886779785156
mps-uncap,0.1,29.229283332824707,2.6584863662719727,2.5794506072998047
mps-uncap,0.2,22.09305763244629,2.575993537902832,2.5725364685058594
mps-uncap,0.3,21.47805690765381,2.583026885986328,2.565145492553711
mps-uncap,0.4,19.67763900756836,2.5751590728759766,2.588510513305664
