mode,load,0_mobilenet_v2-2,1_resnet18-2,2_vgg13-8
mps-uncap,0.8,240.41138002379273,316.2047824945601,1244.9806481131695
mps-uncap,0.9,271.834662292748,361.99429099186324,1371.7773712447913
mps-uncap,1.0,303.95203424235314,391.9664713885612,1373.6588090975345
mps-uncap,0.5,148.63064113460277,197.61231431224053,773.9248633609038
mps-uncap,0.6,178.24589250744927,238.7966245058887,931.7457158610962
mps-uncap,0.7,209.7786044466226,278.36213434082913,1069.3151668063986
mps-uncap,0.1,29.067100162920145,39.493800912596626,157.3334413505794
mps-uncap,0.2,59.80187299671507,79.7589865797926,303.133002162022
mps-uncap,0.3,89.58700290161191,118.68594570468422,458.82891728683603
mps-uncap,0.4,120.92691924142385,160.72638300727857,616.476884252973
