mode,load,0_mobilenet_v2-2,1_resnet18-2,2_vgg13-8
mps-uncap,0.8,0.009298324584960938,0.008821487426757812,0.011205673217773438
mps-uncap,0.9,0.0095367431640625,0.009298324584960938,0.009775161743164062
mps-uncap,1.0,0.01049041748046875,0.009298324584960938,0.010967254638671875
mps-uncap,0.5,0.0095367431640625,0.010967254638671875,0.009298324584960938
mps-uncap,0.6,0.009775161743164062,0.009059906005859375,0.0095367431640625
mps-uncap,0.7,0.009298324584960938,0.009059906005859375,0.010013580322265625
mps-uncap,0.1,0.013589859008789062,0.011444091796875,0.011920928955078125
mps-uncap,0.2,0.012636184692382812,0.011920928955078125,0.012159347534179688
mps-uncap,0.3,0.011444091796875,0.011205673217773438,0.011205673217773438
mps-uncap,0.4,0.011682510375976562,0.010967254638671875,0.009298324584960938
