mode,load,0_mobilenet_v3_small-4,1_resnet50-4,2_vgg13-32
mps-uncap,0.8,201.11657271876302,150.55373143189763,1556.1867540760704
mps-uncap,0.9,227.23362908665626,172.089088210337,1729.5165762766637
mps-uncap,1.0,257.76764626324115,187.487948864554,1881.9187561693805
mps-uncap,0.5,124.90100474138042,95.54353963142304,993.1949394684397
mps-uncap,0.6,147.4495863026956,111.0111143660429,1155.197945122435
mps-uncap,0.7,174.72118216723166,132.72591264937648,1355.1159824782692
mps-uncap,0.1,25.147776758203623,20.687863860320405,207.49418873794903
mps-uncap,0.2,50.86913383123423,36.52866273271176,379.78677859070956
mps-uncap,0.3,74.66414723047842,57.79536783292487,569.2221946862214
mps-uncap,0.4,96.71285745332693,73.38838819743701,737.2057187577329
