mode,load,0_mobilenet_v3_small-4,1_resnet50-4,2_vgg13-32
mps-uncap,0.8,2.3255348205566406,2.825021743774414,14.574527740478516
mps-uncap,0.9,2.3250579833984375,2.814769744873047,14.5263671875
mps-uncap,1.0,2.3164749145507812,2.8023719787597656,14.642477035522461
mps-uncap,0.5,2.331972122192383,2.804994583129883,14.503240585327148
mps-uncap,0.6,2.32696533203125,2.772808074951172,14.474868774414062
mps-uncap,0.7,2.302885055541992,2.7658939361572266,14.518499374389648
mps-uncap,0.1,2.4023056030273438,2.8378963470458984,14.428853988647461
mps-uncap,0.2,2.35748291015625,2.8460025787353516,14.462471008300781
mps-uncap,0.3,2.3679733276367188,2.838611602783203,14.473676681518555
mps-uncap,0.4,2.3763179779052734,2.814054489135742,14.474868774414062
