mode,load,0_mobilenet_v3_small-4,1_resnet50-4,2_vgg13-32
mps-uncap,0.8,124.12905693054199,180.35387992858887,225.31580924987793
mps-uncap,0.9,159.8062515258789,271.1348533630371,294.2779064178467
mps-uncap,1.0,192.11077690124512,1707.4105739593506,584.7735404968262
mps-uncap,0.5,42.63734817504883,60.92476844787598,111.89985275268555
mps-uncap,0.6,77.63171195983887,65.54007530212402,119.18950080871582
mps-uncap,0.7,83.21523666381836,128.48854064941406,133.85868072509766
mps-uncap,0.1,24.539470672607422,20.57671546936035,34.642934799194336
mps-uncap,0.2,26.16739273071289,27.608394622802734,52.82020568847656
mps-uncap,0.3,28.171300888061523,36.33832931518555,55.21202087402344
mps-uncap,0.4,46.9667911529541,41.79501533508301,76.17330551147461
