mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,172.47819900512695,24.367570877075195,174.20434951782227
mig,0.6,363.1939888000488,25.45475959777832,104.94422912597656
mps-uncap,0.7,358.9320182800293,34.029245376586914,335.88457107543945
mig,0.7,578.3181190490723,23.23317527770996,109.83633995056152
mps-uncap,0.8,232.558012008667,69.45061683654785,611.0210418701172
mig,0.8,660.0592136383057,35.709381103515625,174.4372844696045
mps-uncap,0.9,350.4791259765625,94.65503692626953,12327.255725860596
mig,0.9,1142.6634788513184,68.17197799682617,335.7536792755127
mps-uncap,1.0,440.51575660705566,590.6720161437988,19720.20387649536
mig,1.0,1943.0804252624512,94.29264068603516,1692.8973197937012
mps-uncap,1.1,539.5731925964355,1275.7863998413086,35283.21957588196
mig,1.1,7640.815734863281,5096.063137054443,8048.313617706299
mps-uncap,1.2,620.3818321228027,12902.535200119019,39275.51293373108
mig,1.2,12242.722272872925,11723.74963760376,14698.32444190979
mps-uncap,1.3,851.2177467346191,23814.47458267212,53050.75407028198
mig,1.3,21024.205923080444,17606.44817352295,22287.485361099243
