mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,75.4894733428955,6.130743026733398,51.857042312622085
mig,0.6,164.45941925048825,6.202650070190429,29.86721992492676
mps-uncap,0.7,92.89236068725587,8.991622924804686,95.45040130615234
mig,0.7,215.9512519836426,7.750940322875978,43.363332748413086
mps-uncap,0.8,104.40921783447266,18.579912185668952,323.07901382446283
mig,0.8,424.069309234619,10.234236717224121,57.57546424865723
mps-uncap,0.9,118.66006851196289,21.127867698669437,11070.858788490295
mig,0.9,663.066291809082,21.086692810058594,117.93718338012697
mps-uncap,1.0,153.36022377014166,223.61738681793216,17853.827667236328
mig,1.0,1578.284740447998,48.609590530395515,1322.3488807678225
mps-uncap,1.1,228.72591018676758,911.4243030548098,31424.052143096924
mig,1.1,6808.389329910278,4586.433005332948,7031.03907108307
mps-uncap,1.2,327.93760299682634,11474.624633789073,35817.43941307068
mig,1.2,10886.885976791385,10572.110891342167,13139.883756637573
mps-uncap,1.3,416.70014858245844,20964.035964012146,47105.32269477845
mig,1.3,18481.757974624634,15781.938791275024,19576.24351978302
