mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,37.57781982421874,3.9035320281982426,39.82172012329102
mig,0.6,107.49015808105467,4.333472251892089,19.683074951171886
mps-uncap,0.7,55.21075725555424,6.923198699951171,81.82168006896973
mig,0.7,158.27250480651855,5.909252166748048,33.403873443603516
mps-uncap,0.8,65.28787612915039,16.557168960571296,311.5815162658691
mig,0.8,367.06812381744385,8.408069610595703,47.325849533081055
mps-uncap,0.9,80.82513809204102,19.282531738281254,11061.352348327637
mig,0.9,606.5246105194092,19.31595802307129,107.8533172607422
mps-uncap,1.0,113.67297172546395,221.60265445709234,17835.998249053955
mig,1.0,1520.2994346618652,46.860122680664084,1312.1628761291504
mps-uncap,1.1,189.20135498046875,910.0831508636476,31415.320467948914
mig,1.1,6750.982761383057,4584.696173667909,7020.441865921022
mps-uncap,1.2,288.42868804931646,11472.413110733034,35799.268674850464
mig,1.2,10829.855728149416,10570.373296737675,13129.644775390625
mps-uncap,1.3,376.67632102966303,20962.200212478638,47084.926176071174
mig,1.3,18422.62659072876,15780.231595039368,19566.088557243347
