mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,42.86766052246094,12.928247451782227,24.219512939453125
mig,0.6,60.877084732055664,16.69788360595703,13.770580291748047
mps-uncap,0.7,43.72286796569824,12.130260467529297,24.47223663330078
mig,0.7,65.08374214172363,10.073423385620117,18.163204193115234
mps-uncap,0.8,49.70288276672363,8.28242301940918,28.13124656677246
mig,0.8,65.93465805053711,10.022401809692383,18.135786056518555
mps-uncap,0.9,48.426151275634766,8.72659683227539,27.200937271118164
mig,0.9,65.45543670654297,13.084650039672852,13.902902603149414
mps-uncap,1.0,42.57512092590332,7.760763168334961,24.502992630004883
mig,1.0,64.08476829528809,10.030031204223633,18.871545791625977
mps-uncap,1.1,43.07675361633301,10.73908805847168,26.18122100830078
mig,1.1,62.77298927307129,6.797552108764648,18.746614456176758
mps-uncap,1.2,52.04129219055176,14.0380859375,28.082609176635742
mig,1.2,70.8777904510498,10.41722297668457,23.92888069152832
mps-uncap,1.3,51.630496978759766,19.727706909179688,35.57395935058594
mig,1.3,67.43788719177246,14.26553726196289,18.02659034729004
