mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,39.32628631591797,2.4143695831298833,17.0682430267334
mig,0.6,58.864498138427734,2.110004425048828,11.343717575073242
mps-uncap,0.7,40.165162086486816,2.4290084838867188,17.462491989135742
mig,0.7,58.81204605102539,2.049827575683594,11.322021484375
mps-uncap,0.8,40.54827690124512,2.527475357055664,18.066024780273438
mig,0.8,58.82284641265869,1.964569091796875,11.147499084472656
mps-uncap,0.9,40.30423164367676,2.3517608642578125,21.218562126159668
mig,0.9,58.864641189575195,1.9593238830566406,11.047077178955078
mps-uncap,1.0,40.073323249816895,2.5675296783447266,19.260787963867188
mig,1.0,57.77621269226074,1.8239021301269531,10.383319854736328
mps-uncap,1.1,40.262460708618164,2.4368762969970703,21.839666366577152
mig,1.1,57.585954666137695,1.8248558044433594,10.392212867736816
mps-uncap,1.2,40.06295204162598,2.64739990234375,19.842147827148438
mig,1.2,57.45830535888672,1.8231868743896484,10.372638702392578
mps-uncap,1.3,40.210628509521484,2.6445388793945312,22.195911407470707
mig,1.3,59.00588035583496,1.8267631530761719,10.42485237121582
