mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,0.01430511474609375,0.011444091796875,0.012159347534179688
mig,0.6,0.013828277587890625,0.010728836059570312,0.011682510375976562
mps-uncap,0.7,0.014066696166992188,0.01049041748046875,0.011920928955078125
mig,0.7,0.014066696166992188,0.01049041748046875,0.013828277587890625
mps-uncap,0.8,0.01430511474609375,0.010967254638671875,0.01430511474609375
mig,0.8,0.013113021850585938,0.010967254638671875,0.013828277587890625
mps-uncap,0.9,0.014543533325195312,0.01049041748046875,0.019073486328125
mig,0.9,0.014066696166992188,0.011205673217773438,0.013589859008789062
mps-uncap,1.0,0.013589859008789062,0.011205673217773438,0.02002716064453125
mig,1.0,0.017642974853515625,0.011205673217773438,0.014066696166992188
mps-uncap,1.1,0.013589859008789062,0.010728836059570312,0.014066696166992188
mig,1.1,0.01811981201171875,0.013113021850585938,0.01621246337890625
mps-uncap,1.2,0.014066696166992188,0.0133514404296875,0.017642974853515625
mig,1.2,0.019311904907226562,0.013589859008789062,0.017404556274414062
mps-uncap,1.3,0.014066696166992188,0.012636184692382812,0.02956390380859375
mig,1.3,0.017881393432617188,0.012874603271484375,0.014543533325195312
