mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,36.31925582885742,1.2462139129638672,9.237527847290039
mig,0.6,56.3817024230957,1.7015933990478516,9.905219078063965
mps-uncap,0.7,37.679433822631836,1.2402534484863281,9.088993072509766
mig,0.7,56.43725395202637,1.7018318176269531,9.933948516845703
mps-uncap,0.8,38.90490531921387,1.5463829040527344,9.10043716430664
mig,0.8,56.46085739135742,1.703500747680664,9.982109069824219
mps-uncap,0.9,39.16597366333008,1.6436576843261719,9.117484092712402
mig,0.9,56.78820610046387,1.718282699584961,10.07533073425293
mps-uncap,1.0,39.29781913757324,1.7714500427246094,14.21976089477539
mig,1.0,56.85853958129883,1.7282962799072266,10.152339935302734
mps-uncap,1.1,39.65640068054199,1.7185211181640625,17.66502857208252
mig,1.1,57.06679821014404,1.7383098602294922,10.20193099975586
mps-uncap,1.2,39.460182189941406,1.86920166015625,16.041994094848633
mig,1.2,56.91027641296387,1.733541488647461,10.192155838012695
mps-uncap,1.3,39.72506523132324,1.842498779296875,19.505977630615234
mig,1.3,57.02352523803711,1.733541488647461,10.19740104675293
