mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,0.03266334533691406,0.03218650817871094,6.883144378662109
mig,0.6,17.487049102783203,0.789642333984375,3.2312870025634766
mps-uncap,0.7,0.03230571746826172,0.4940032958984375,15.848159790039062
mig,0.7,38.17629814147949,1.3229846954345703,8.090019226074219
mps-uncap,0.8,3.80706787109375,1.7001628875732422,103.97696495056152
mig,0.8,92.23246574401855,2.028822898864746,11.337518692016602
mps-uncap,0.9,11.276721954345703,2.955913543701172,6755.325555801392
mig,0.9,142.33994483947754,5.20634651184082,24.723529815673828
mps-uncap,1.0,26.730895042419434,31.24058246612549,8472.105503082275
mig,1.0,665.9400463104248,15.18702507019043,868.5920238494873
mps-uncap,1.1,36.53264045715332,111.31596565246582,16116.386413574219
mig,1.1,3202.921986579895,2487.282633781433,4355.59344291687
mps-uncap,1.2,60.94813346862793,7172.531366348267,20266.024589538574
mig,1.2,5883.279800415039,5720.638036727905,6230.3348779678345
mps-uncap,1.3,149.6591567993164,10572.652816772461,24524.418830871582
mig,1.3,10802.410125732422,8675.155401229858,10145.468473434448
