mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,134.46426391601562,21.97122573852539,164.94297981262207
mig,0.6,304.72302436828613,23.66352081298828,95.062255859375
mps-uncap,0.7,321.7446804046631,31.560182571411133,319.37336921691895
mig,0.7,521.2802886962891,21.222352981567383,98.44207763671875
mps-uncap,0.8,193.54653358459473,66.94293022155762,593.4181213378906
mig,0.8,604.0611267089844,33.38479995727539,164.5491123199463
mps-uncap,0.9,311.0635280609131,92.79131889343262,12315.723896026611
mig,0.9,1085.618257522583,66.43390655517578,325.7288932800293
mps-uncap,1.0,400.8288383483887,589.7364616394043,19698.434114456177
mig,1.0,1886.3129615783691,92.56196022033691,1682.645559310913
mps-uncap,1.1,499.1495609283447,1274.1718292236328,35267.7321434021
mig,1.1,7584.590196609497,5093.259334564209,8037.963151931763
mps-uncap,1.2,580.5034637451172,12900.645732879639,39262.16220855713
mig,1.2,12185.093879699707,11719.432353973389,14687.938213348389
mps-uncap,1.3,810.6114864349365,23799.381732940674,53027.602672576904
mig,1.3,20967.925548553467,17592.182636260986,22276.132583618164
