mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,41.21467590332031,4.060544967651368,21.039171218872067
mig,0.6,59.76035118103027,2.731003761291503,12.219583988189697
mps-uncap,0.7,41.98451042175293,4.080734252929687,21.437430381774902
mig,0.7,59.61925506591797,2.732472419738773,12.341117858886726
mps-uncap,0.8,42.370553016662605,4.12588596343994,21.65518760681151
mig,0.8,59.68026876449585,2.6748180389404297,12.319087982177734
mps-uncap,0.9,42.021646499633796,3.776531219482418,23.90916347503662
mig,0.9,59.95418071746826,2.585864067077639,12.378921508789062
mps-uncap,1.0,41.64545774459839,4.28607940673828,21.821155548095703
mig,1.0,59.97676849365235,2.3909354209899827,12.036008834838867
mps-uncap,1.1,40.95578193664551,3.808674812316894,23.9372205734253
mig,1.1,59.95025396347046,2.082617282867431,11.744053363800049
mps-uncap,1.2,40.632734298706055,4.210624694824219,22.31028079986572
mig,1.2,59.8230266571045,2.0443391799926762,11.533014774322506
mps-uncap,1.3,40.691940784454346,3.835842609405518,24.465551376342773
mig,1.3,60.08594036102295,2.2867918014526367,12.039148807525637
