mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,132.2259187698364,12.743434906005872,108.89712333679198
mig,0.6,283.4069871902466,12.489154338836666,56.00994348525999
mps-uncap,0.7,236.15608692169178,19.72210884094234,266.3930416107179
mig,0.7,433.59556198120106,14.190492630004895,72.87929058074954
mps-uncap,0.8,171.96663379669198,45.52057743072509,538.6962890624997
mig,0.8,586.3748836517337,19.68871355056764,106.50379657745326
mps-uncap,0.9,245.25103569030807,62.1461248397826,12253.906338214874
mig,0.9,1015.8987426757812,42.78154373168949,259.22699928283686
mps-uncap,1.0,350.661358833313,461.40146970748896,19552.449417114258
mig,1.0,1825.7597446441653,79.22785282135007,1641.771688461304
mps-uncap,1.1,382.0817470550537,1171.5375423431396,34838.10693502426
mig,1.1,7315.89412689209,5042.322585582733,7960.4065680503845
mps-uncap,1.2,522.5237178802494,12825.591926574707,38944.94088172912
mig,1.2,12192.39631652832,11614.76427078247,14534.720203876494
mps-uncap,1.3,736.8343949317934,23461.805553436283,52466.53008937836
mig,1.3,20669.216694831848,17381.596326828003,21988.90883922577
