mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,93.30791950225829,10.715856552124043,97.7246379852294
mig,0.6,227.00249671936035,10.599348545074449,44.97393608093262
mps-uncap,0.7,196.12464189529402,17.52773284912109,254.98735904693615
mig,0.7,377.4001121520995,12.314386367797866,62.907576560974164
mps-uncap,0.8,133.13145160675072,43.3768510818478,528.2972240447995
mig,0.8,528.1863641738894,17.8737759590149,96.28438949584927
mps-uncap,0.9,205.72950363159225,60.297436714172356,12244.59855556488
mig,0.9,958.9872074127197,40.95618724822998,249.2505931854248
mps-uncap,1.0,311.2269854545593,460.37891864776606,19538.34726333618
mig,1.0,1768.9802646636965,77.45252609252928,1631.490116119385
mps-uncap,1.1,341.7043685913086,1169.8593044281006,34819.19007539749
mig,1.1,7258.669612407684,5040.604548454285,7950.193455219269
mps-uncap,1.2,482.86809921264677,12823.973197937012,38927.10807561874
mig,1.2,12135.093116760254,11613.01739692688,14524.427330493925
mps-uncap,1.3,697.1697378158572,23459.75408315659,52445.88686943054
mig,1.3,20611.43000125885,17379.887461662292,21978.79332304001
