mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,0.6,331.687901750256,1296.374939702029,466.46189985530714
mig,0.6,315.1581531954352,1330.1965981064664,454.21508886102555
mps-uncap,0.7,361.1390767442571,1543.9137430808967,542.9547076209335
mig,0.7,393.0029074782059,1579.9005441515237,549.5962333081092
mps-uncap,0.8,436.5797811045092,1750.362853410339,627.600156799361
mig,0.8,466.0943223790482,1752.1530998294372,611.0057657693824
mps-uncap,0.9,489.1827816699182,1943.6642984245696,605.8941140656011
mig,0.9,492.4504923724284,2025.9784700432199,678.4440181262837
mps-uncap,1.0,560.7457085259161,2173.3589767489434,601.5035421346691
mig,1.0,545.1829110614863,2170.6048013676095,774.3497362778879
mps-uncap,1.1,612.3176186380938,2368.7279789399536,522.4622495974553
mig,1.1,555.3570007438086,2265.594003089852,779.8396434034951
mps-uncap,1.2,652.6154828341504,2234.626337889562,540.2618889349837
mig,1.2,559.153573487362,2271.9340151447577,780.7078813167819
mps-uncap,1.3,744.6771223110868,2101.3644138198765,435.2878556483516
mig,1.3,557.6713077475221,2263.4824050060706,777.5357002036185
