mode,load,0_mobilenet_v2-32,1_alexnet-2,2_resnet101-8
mps-uncap,1.0,20.811080932617188,16.336679458618164,28.699636459350586
mig,1.0,19.12379264831543,9.272336959838867,26.063919067382812
