mode,load,0_mobilenet_v2-32,1_alexnet-2,2_resnet101-8
mps-uncap,1.0,3381.121416789301,1023.0810643049423,409.59494473846695
mig,1.0,2633.7999993525186,1336.8806521939832,415.9984466775538
