mode,load,0_mobilenet_v2-32,1_alexnet-2,2_resnet101-8
mps-uncap,1.0,9.409904479980469,1.607656478881836,19.513487815856934
mig,1.0,12.00723648071289,1.474618911743164,19.166946411132812
