mode,load,0_mobilenet_v2-32,1_alexnet-2,2_resnet101-8
mps-uncap,1.0,10.171556472778322,3.209066390991212,20.424485206604004
mig,1.0,12.571525573730469,1.562356948852539,19.454479217529297
