mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,13.214588165283203,14.640512466430662,6.92911148071289
mps-uncap,0.9,13.278234004974365,14.770641326904297,7.080836296081541
mps-uncap,1.0,13.483896255493162,14.91917371749878,7.318854331970215
mps-uncap,0.5,13.137168884277344,15.05518913269043,7.020139694213864
mps-uncap,0.6,12.979259490966799,14.501380920410156,6.833777427673337
mps-uncap,0.7,13.048715591430664,14.552617073059078,6.940748691558837
mps-uncap,0.1,14.087791442871092,13.846101760864258,7.93241262435913
mps-uncap,0.2,14.099812507629391,13.74601125717163,7.7155303955078125
mps-uncap,0.3,14.508206844329829,14.021337032318117,7.634990215301514
mps-uncap,0.4,13.974294662475586,14.727473258972168,7.338008880615234
