mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,6.396293640136719,10.34235954284668,2.74658203125
mps-uncap,0.9,6.405353546142578,10.361433029174805,2.689361572265625
mps-uncap,1.0,6.458282470703125,10.701179504394531,2.7511119842529297
mps-uncap,0.5,6.446123123168945,10.36834716796875,2.714872360229492
mps-uncap,0.6,6.437540054321289,10.370016098022461,2.669811248779297
mps-uncap,0.7,6.448268890380859,10.402202606201172,2.6597976684570312
mps-uncap,0.1,6.458044052124023,10.351896286010742,2.7794837951660156
mps-uncap,0.2,6.459236145019531,10.392904281616211,2.7174949645996094
mps-uncap,0.3,6.45899772644043,10.337114334106445,2.6900768280029297
mps-uncap,0.4,6.4640045166015625,10.338783264160156,2.66265869140625
