mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,115.4179573059082,97.81861305236816,47.92308807373047
mps-uncap,0.9,192.13151931762695,183.8376522064209,73.59647750854492
mps-uncap,1.0,567.3110485076904,450.88863372802734,254.03857231140137
mps-uncap,0.5,41.594505310058594,46.25892639160156,28.905391693115234
mps-uncap,0.6,64.09859657287598,94.14958953857422,25.425195693969727
mps-uncap,0.7,63.19236755371094,82.47160911560059,32.55105018615723
mps-uncap,0.1,24.10745620727539,11.77668571472168,21.37589454650879
mps-uncap,0.2,19.90032196044922,29.461383819580078,25.069475173950195
mps-uncap,0.3,26.97587013244629,29.355287551879883,27.866125106811523
mps-uncap,0.4,38.896799087524414,55.77564239501953,26.05581283569336
