mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,128.24177742004395,111.31691932678223,51.32889747619629
mps-uncap,0.9,203.2327651977539,197.0968246459961,77.55899429321289
mps-uncap,1.0,576.6308307647705,464.96129035949707,257.5111389160156
mps-uncap,0.5,53.59601974487305,56.87570571899414,32.13787078857422
mps-uncap,0.6,76.16710662841797,107.57207870483398,28.198719024658203
mps-uncap,0.7,74.98598098754883,95.00384330749512,35.43353080749512
mps-uncap,0.1,35.96973419189453,23.54741096496582,27.722835540771484
mps-uncap,0.2,32.0591926574707,39.989471435546875,29.73198890686035
mps-uncap,0.3,38.223981857299805,39.997100830078125,32.24635124206543
mps-uncap,0.4,45.36700248718262,66.13731384277344,30.575037002563477
