mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,92.56049633026129,80.20749092102045,31.28606081008909
mps-uncap,0.9,150.70153474807734,161.8836784362793,42.5941801071167
mps-uncap,1.0,520.7402563095092,397.8876352310181,220.93966007232686
mps-uncap,0.5,29.830665588378942,44.505629539489746,17.313480377197266
mps-uncap,0.6,41.55714750289917,56.4345359802246,17.509274482727033
mps-uncap,0.7,54.41472053527835,67.5338816642761,20.94405889511108
mps-uncap,0.1,24.15342330932617,21.73272132873531,13.907809257507322
mps-uncap,0.2,26.00297927856444,25.729546546936024,18.09208869934082
mps-uncap,0.3,28.592815399169787,30.790100097656264,19.944498538970947
mps-uncap,0.4,30.489416122436523,39.992332458496094,19.449663162231438
