mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,6.415843963623047,10.369539260864258,2.798795700073242
mps-uncap,0.9,6.421089172363281,10.407686233520508,2.7494430541992188
mps-uncap,1.0,6.500959396362305,10.879993438720703,2.7947425842285156
mps-uncap,0.5,6.469964981079102,10.391950607299805,2.7413368225097656
mps-uncap,0.6,6.457090377807617,10.396957397460938,2.7074813842773438
mps-uncap,0.7,6.470203399658203,10.42628288269043,2.711057662963867
mps-uncap,0.1,6.4830780029296875,10.366201400756836,2.810955047607422
mps-uncap,0.2,6.484031677246094,10.425090789794922,2.7675628662109375
mps-uncap,0.3,6.47282600402832,10.366439819335938,2.7365684509277344
mps-uncap,0.4,6.488323211669922,10.372161865234375,2.722501754760742
