mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,12.859320640563965,14.122676849365234,5.4264068603515625
mps-uncap,0.9,12.987732887268066,14.270591735839844,5.75528144836426
mps-uncap,1.0,13.172364234924316,14.429450035095215,6.120920181274414
mps-uncap,0.5,11.984515190124512,14.06857967376709,5.774497985839844
mps-uncap,0.6,12.378454208374023,13.894510269165039,5.221080780029298
mps-uncap,0.7,12.621259689331055,13.999629020690918,5.237174034118653
mps-uncap,0.1,13.0889892578125,12.950325012207031,7.40969181060791
mps-uncap,0.2,13.277769088745117,13.346195220947266,7.128715515136719
mps-uncap,0.3,13.35484981536865,13.471817970275879,7.006645202636719
mps-uncap,0.4,12.920856475830078,13.81373405456543,6.511497497558594
