mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,0.010251998901367188,0.011682510375976562,0.00858306884765625
mps-uncap,0.9,0.01049041748046875,0.011920928955078125,0.00858306884765625
mps-uncap,1.0,0.012636184692382812,0.011920928955078125,0.009059906005859375
mps-uncap,0.5,0.011920928955078125,0.011205673217773438,0.010013580322265625
mps-uncap,0.6,0.0095367431640625,0.011205673217773438,0.009059906005859375
mps-uncap,0.7,0.010728836059570312,0.010013580322265625,0.00858306884765625
mps-uncap,0.1,0.013113021850585938,0.013113021850585938,0.010728836059570312
mps-uncap,0.2,0.012636184692382812,0.013589859008789062,0.010728836059570312
mps-uncap,0.3,0.011920928955078125,0.01239776611328125,0.0095367431640625
mps-uncap,0.4,0.012159347534179688,0.011920928955078125,0.0095367431640625
