mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,47.28655815124512,48.479509353637695,16.456007957458496
mps-uncap,0.9,95.73280811309814,88.28020095825195,25.551176071167
mps-uncap,1.0,426.81255340576195,246.8428611755371,134.1264247894287
mps-uncap,0.5,19.90063190460205,26.612186431884762,10.206937789916992
mps-uncap,0.6,24.381160736083984,31.827640533447276,9.884643554687502
mps-uncap,0.7,30.278491973876964,38.93258571624759,11.47992610931398
mps-uncap,0.1,13.936948776245117,13.469457626342775,9.280252456665039
mps-uncap,0.2,17.111539840698242,16.414642333984375,11.686611175537115
mps-uncap,0.3,19.83993053436279,20.657062530517578,12.42973804473877
mps-uncap,0.4,20.37496566772461,22.406578063964844,11.387062072753904
