mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,1080.0176167495179,1691.9953245608501,383.1872045132621
mps-uncap,0.9,1236.8582724493162,1860.9086924758997,422.7242957782055
mps-uncap,1.0,1313.599659447558,2055.3732488663177,474.22309019380714
mps-uncap,0.5,640.3204910918248,1053.931463248894,231.3188444427355
mps-uncap,0.6,808.3723321361342,1257.533158539867,278.246582490015
mps-uncap,0.7,939.7269307057988,1487.8260495599657,328.7258045087247
mps-uncap,0.1,131.55661258205123,222.34471471238766,48.2922302951455
mps-uncap,0.2,264.46249376644454,404.1188592391172,96.40712120371187
mps-uncap,0.3,393.17218088364905,650.6971052084069,139.28709564938507
mps-uncap,0.4,513.1577932098023,835.5150203333249,189.28492989044014
