mode,load,0_inception_v3-16,1_inception_v3-32,2_mobilenet_v3_large-2
mps-uncap,0.8,16.878724098205566,21.828651428222656,6.445407867431641
mps-uncap,0.9,32.971739768981934,31.594038009643555,9.277105331420898
mps-uncap,1.0,245.22125720977783,74.36072826385498,53.37858200073242
mps-uncap,0.5,11.446118354797363,13.679027557373047,5.048036575317383
mps-uncap,0.6,11.87896728515625,13.918399810791016,4.790544509887695
mps-uncap,0.7,12.652039527893066,16.900181770324707,5.160212516784668
mps-uncap,0.1,12.55345344543457,12.398004531860352,7.08317756652832
mps-uncap,0.2,12.363433837890625,12.39168643951416,6.855010986328125
mps-uncap,0.3,12.276172637939453,12.871265411376953,6.72602653503418
mps-uncap,0.4,11.759757995605469,13.084650039672852,5.681276321411133
