mode,load,0_densenet201-16,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,0.05984306335449219,1.3484954833984375,4.306554794311523
mps-uncap,0.9,23.984193801879883,3.324270248413086,8.562326431274414
mps-uncap,1.0,122.51996994018555,345.90327739715576,104.01082038879395
mps-uncap,0.5,0.05793571472167969,0.046253204345703125,0.04506111145019531
mps-uncap,0.6,0.06079673767089844,0.04792213439941406,0.05125999450683594
mps-uncap,0.7,0.060558319091796875,0.07271766662597656,2.021312713623047
mps-uncap,0.1,0.06198883056640625,0.05650520324707031,0.051975250244140625
mps-uncap,0.2,0.06175041198730469,0.05078315734863281,0.048160552978515625
mps-uncap,0.3,0.059604644775390625,0.04982948303222656,0.04744529724121094
mps-uncap,0.4,0.06318092346191406,0.049591064453125,0.04792213439941406
