mode,load,0_densenet201-16,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,236.4421747220655,464.6914770229037,927.9596129267455
mps-uncap,0.9,266.39253213232826,520.9734400704849,1022.921264244087
mps-uncap,1.0,291.8742402875715,581.5573098165208,1153.6119496260164
mps-uncap,0.5,137.17281395861505,288.5929411964536,579.7310443407395
mps-uncap,0.6,181.3621980453063,353.86675415983126,687.4244297706205
mps-uncap,0.7,209.4696077399768,399.11651565374916,798.4207808699899
mps-uncap,0.1,25.893302815939524,57.04217337776103,110.96865203136636
mps-uncap,0.2,56.84972218173054,118.09868065509703,229.63537654289954
mps-uncap,0.3,95.45688127440371,173.80142458535244,336.76936183009366
mps-uncap,0.4,115.31673015081407,234.59342164679964,449.7362180562091
