mode,load,0_densenet201-16,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,133.57034683227536,32.953419685363784,46.23574733734127
mps-uncap,0.9,234.21635627746588,44.84505414962776,63.54985237121584
mps-uncap,1.0,928.8745498657225,1211.7509603500366,366.0725402832031
mps-uncap,0.5,32.46715307235715,13.610141277313227,14.992332458496183
mps-uncap,0.6,68.60774040222151,15.406990051269533,19.93244886398311
mps-uncap,0.7,89.79036808013906,18.41953754425049,38.14565181732178
mps-uncap,0.1,25.739080905914296,6.027793884277342,4.518582820892333
mps-uncap,0.2,28.098726272583008,10.387694835662845,5.792689323425301
mps-uncap,0.3,28.367547988891626,10.404977798461914,7.604062557220454
mps-uncap,0.4,30.27347087860108,12.875318527221676,11.990487575531008
