mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,1.0,0.008821487426757812,0.0045299530029296875,0.000476837158203125
mig,1.0,0.009298324584960938,0.0064373016357421875,0.0007152557373046875
