mode,load,0_vgg19-4,1_mobilenet_v3_small-8,2_vgg13-4
mps-uncap,1.0,504.5795440302017,1058.9239179707406,796.9683506678036
mig,1.0,486.67881133702514,1926.0460321032024,405.10264321572464
