mode,load,0_vgg19-4,1_mobilenet_v3_small-8,2_vgg13-4
mps-uncap,1.0,8.513069152832031,8.430266380310059,5.531072616577148
mig,1.0,8.385181427001953,4.216194152832031,10.03873348236084
