mode,load,0_vgg19-4,1_mobilenet_v3_small-8,2_vgg13-4
mps-uncap,1.0,15.700340270996094,21.842241287231445,17.82989501953125
mig,1.0,20.170927047729492,17.023086547851562,21.254539489746094
