mode,load,0_densenet201-16,1_densenet201-16
mig,0.1,23.06818962097168,27.353763580322266
mig,0.2,23.065567016601562,27.393102645874023
mig,0.3,23.060083389282227,27.36496925354004
mig,0.4,23.058176040649414,27.364492416381836
mig,0.5,23.069143295288086,27.358293533325195
mig,0.6,23.079872131347656,27.360916137695312
mig,0.7,23.059606552124023,27.367353439331055
mig,0.8,23.07271957397461,27.352571487426758
mig,0.9,23.080825805664062,27.35304832458496
mig,1.0,23.227691650390625,27.412891387939453
