mode,load,0_densenet201-16,1_densenet201-16
mig,0.1,28.149795532226562,27.565574645996094
mig,0.2,23.368024826049805,27.521753311157227
mig,0.3,23.41763973236084,27.539491653442383
mig,0.4,23.447847366333008,27.549266815185547
mig,0.5,23.441267013549805,27.52971649169922
mig,0.6,23.483657836914062,27.539968490600586
mig,0.7,23.469829559326172,27.549457550048828
mig,0.8,23.494482040405273,27.536511421203613
mig,0.9,23.515701293945312,27.53758430480957
mig,1.0,23.53072166442871,27.553319931030273
